species_name,diet_name,reaction_id,reaction_name,flux_value,is_active
Alistipes_onderdonkii_DSM_19147,western,ABUTD,Aminobutyraldehyde Dehydrogenase,0.0,False
Alistipes_onderdonkii_DSM_19147,western,BUTKr,"Butyrate kinase, reversible",0.0,False
Alistipes_onderdonkii_DSM_19147,western,GGGABADr,gamma-glutamyl-gamma aminobutyric acid dehydrogenase,0.0,False
Alistipes_onderdonkii_DSM_19147,western,GGGABARr,"Gamma-glutamyl-gamma aminobutyric acid dehydrogenase, NAD",0.0,False
Alistipes_onderdonkii_DSM_19147,western,GLUABUTt7pp,"4-aminobutyrate/glutamate antiport, periplasmatic",0.18000000000000005,True
Alistipes_onderdonkii_DSM_19147,western,PBUTT,Phosphate butyryltransferase (EC 2.3.1.19),0.0,False
Alistipes_onderdonkii_DSM_19147,high_fiber,ABUTD,Aminobutyraldehyde Dehydrogenase,0.0,False
Alistipes_onderdonkii_DSM_19147,high_fiber,BUTKr,"Butyrate kinase, reversible",0.0,False
Alistipes_onderdonkii_DSM_19147,high_fiber,GGGABADr,gamma-glutamyl-gamma aminobutyric acid dehydrogenase,0.0,False
Alistipes_onderdonkii_DSM_19147,high_fiber,GGGABARr,"Gamma-glutamyl-gamma aminobutyric acid dehydrogenase, NAD",0.0,False
Alistipes_onderdonkii_DSM_19147,high_fiber,GLUABUTt7pp,"4-aminobutyrate/glutamate antiport, periplasmatic",0.18000000000000005,True
Alistipes_onderdonkii_DSM_19147,high_fiber,PBUTT,Phosphate butyryltransferase (EC 2.3.1.19),0.0,False
Alistipes_shahii_WAL_8301,western,ABUTD,Aminobutyraldehyde Dehydrogenase,0.0,False
Alistipes_shahii_WAL_8301,western,ABUTR,4-Aminobutyraldehyde:nad[c]+ oxidoreductase,0.0,False
Alistipes_shahii_WAL_8301,western,BUTKr,"Butyrate kinase, reversible",0.0,False
Alistipes_shahii_WAL_8301,western,GGGABADr,gamma-glutamyl-gamma aminobutyric acid dehydrogenase,0.0,False
Alistipes_shahii_WAL_8301,western,GGGABARr,"Gamma-glutamyl-gamma aminobutyric acid dehydrogenase, NAD",0.0,False
Alistipes_shahii_WAL_8301,western,GLUABUTt7pp,"4-aminobutyrate/glutamate antiport, periplasmatic",0.0,False
Alistipes_shahii_WAL_8301,western,PBUTT,Phosphate butyryltransferase (EC 2.3.1.19),0.0,False
Alistipes_shahii_WAL_8301,high_fiber,ABUTD,Aminobutyraldehyde Dehydrogenase,0.0,False
Alistipes_shahii_WAL_8301,high_fiber,ABUTR,4-Aminobutyraldehyde:nad[c]+ oxidoreductase,0.0,False
Alistipes_shahii_WAL_8301,high_fiber,BUTKr,"Butyrate kinase, reversible",0.0,False
Alistipes_shahii_WAL_8301,high_fiber,GGGABADr,gamma-glutamyl-gamma aminobutyric acid dehydrogenase,0.0,False
Alistipes_shahii_WAL_8301,high_fiber,GGGABARr,"Gamma-glutamyl-gamma aminobutyric acid dehydrogenase, NAD",0.0,False
Alistipes_shahii_WAL_8301,high_fiber,GLUABUTt7pp,"4-aminobutyrate/glutamate antiport, periplasmatic",0.0,False
Alistipes_shahii_WAL_8301,high_fiber,PBUTT,Phosphate butyryltransferase (EC 2.3.1.19),0.0,False
Bacteroides_dorei_DSM_17855,western,ABUTt2rpp,"Transport of 4-Aminobutyrate  via Proton Symport, Reversible, periplasmatic",0.0,False
Bacteroides_dorei_DSM_17855,western,BUTKr,"Butyrate kinase, reversible",0.0,False
Bacteroides_dorei_DSM_17855,western,EX_gbbtn(e),gamma-butyrobetaine exchange,0.0,False
Bacteroides_dorei_DSM_17855,western,EX_isobut(e),Isobutyrate exchange,0.17729886589035906,True
Bacteroides_dorei_DSM_17855,western,GBBTNtex,gamma-butyrobetaine diffusion extracellular to periplasm,0.0,False
Bacteroides_dorei_DSM_17855,western,ISOBUTt2rpp,"Isobutyrate transport via proton symport, periplasmatic",-0.17729886589035906,True
Bacteroides_dorei_DSM_17855,western,ISOBUTtex,"Isobutyrate, 2-Methylpropanoate diffusion extracellular to periplasm",-0.17729886589035906,True
Bacteroides_dorei_DSM_17855,western,PBUTT,Phosphate butyryltransferase (EC 2.3.1.19),0.0,False
