species_name,diet_name,model_id,solver_status,objective_reaction_id,growth_value,is_growing,has_ex_but,ex_but_flux,num_butyrate_reactions,matched_diet_metabolites,missing_diet_metabolites
Alistipes_onderdonkii_DSM_19147,western,M_Alistipes_onderdonkii_DSM_19147,optimal,biomass419,0.1088646687986362,True,False,,6,66,98
Alistipes_onderdonkii_DSM_19147,high_fiber,M_Alistipes_onderdonkii_DSM_19147,optimal,biomass419,0.10054152848675277,True,False,,6,66,98
Alistipes_shahii_WAL_8301,western,M_Alistipes_shahii_WAL_8301,optimal,biomass399,0.011779605264001985,True,False,,7,59,105
Alistipes_shahii_WAL_8301,high_fiber,M_Alistipes_shahii_WAL_8301,optimal,biomass399,0.005889803489627902,True,False,,7,59,105
Bacteroides_dorei_DSM_17855,western,M_Bacteroides_dorei_DSM_17855,optimal,biomass536,0.07549046318038326,True,False,,8,56,108
Bacteroides_dorei_DSM_17855,high_fiber,M_Bacteroides_dorei_DSM_17855,optimal,biomass536,0.04980479201694076,True,False,,8,56,108
Bacteroides_xylanisolvens_XB1A,western,M_Bacteroides_xylanisolvens_XB1A,optimal,biomass525,0.20311601148969768,True,False,,7,79,85
Bacteroides_xylanisolvens_XB1A,high_fiber,M_Bacteroides_xylanisolvens_XB1A,optimal,biomass525,0.1462612214692383,True,False,,7,79,85
Bilophila_wadsworthia_3_1_6,western,M_Bilophila_wadsworthia_3_1_6,optimal,biomass525,0.025943322410617618,True,True,0.0,11,56,108
Bilophila_wadsworthia_3_1_6,high_fiber,M_Bilophila_wadsworthia_3_1_6,optimal,biomass525,0.02594332241061805,True,True,0.0,11,56,108
Escherichia_coli_UTI89_UPEC,western,M_Escherichia_coli_UTI89_UPEC,optimal,biomass525,0.6597798058596676,True,True,0.0,21,103,61
Escherichia_coli_UTI89_UPEC,high_fiber,M_Escherichia_coli_UTI89_UPEC,optimal,biomass525,0.5509002400343673,True,True,0.0,21,103,61
Faecalibacterium_prausnitzii_M21_2,western,M_Faecalibacterium_prausnitzii_M21_2,optimal,biomass224,0.29116860802493505,True,True,-4.044587090646807e-15,11,81,83
Faecalibacterium_prausnitzii_M21_2,high_fiber,M_Faecalibacterium_prausnitzii_M21_2,optimal,biomass224,0.21087901278304946,True,True,0.0,11,81,83
Klebsiella_pneumoniae_pneumoniae_MGH78578,western,M_Klebsiella_pneumoniae_pneumoniae_MGH78578,optimal,biomass525,0.5867554296079207,True,False,,11,100,64
Klebsiella_pneumoniae_pneumoniae_MGH78578,high_fiber,M_Klebsiella_pneumoniae_pneumoniae_MGH78578,optimal,biomass525,0.49606541103853835,True,False,,11,100,64
Parabacteroides_merdae_ATCC_43184,western,M_Parabacteroides_merdae_ATCC_43184,optimal,biomass536,0.10235854766339957,True,False,,6,67,97
Parabacteroides_merdae_ATCC_43184,high_fiber,M_Parabacteroides_merdae_ATCC_43184,optimal,biomass536,0.05781189886363296,True,False,,6,67,97
Ruminococcus_torques_ATCC_27756,western,M_Ruminococcus_torques_ATCC_27756,optimal,biomass525,0.13522018473416594,True,False,,0,54,110
Ruminococcus_torques_ATCC_27756,high_fiber,M_Ruminococcus_torques_ATCC_27756,optimal,biomass525,0.07187757099317404,True,False,,0,54,110
