age_group,diet_name,solver_status,community_objective_value,sum_species_biomass_flux,num_species_with_nonzero_growth,community_ex_but_flux,matched_diet_metabolites,missing_diet_metabolites,n_subjects,total_input_median_abundance,total_input_normalized_weight
21_40,western,optimal,0.8693322097702874,1.1357218037717978,1,0.0,127,37,91,9.532609256984545,1.0
21_40,high_fiber,optimal,0.7655863337727038,1.0001850640793903,1,0.0,127,37,91,9.532609256984545,1.0
41_60,western,optimal,0.7988509276904123,1.1357218037717836,1,0.0,127,37,140,6.465364400909913,0.9999999999999999
41_60,high_fiber,optimal,0.7035162692557209,1.0001850640793748,1,0.0,127,37,140,6.465364400909913,0.9999999999999999
61_70,western,optimal,0.898821618778211,1.1357218037717685,1,0.0,127,37,57,7.5814703312724285,1.0
61_70,high_fiber,optimal,0.7915564845088399,1.0001850640793828,1,0.0,127,37,57,7.5814703312724285,1.0
71_80,western,optimal,0.9820659966119174,2.1881921069301145,1,0.0,127,37,33,16.872341204474203,1.0
71_80,high_fiber,optimal,0.9820659966111766,2.1881921069284638,1,-1.5240827442261006e-31,127,37,33,16.872341204474203,1.0
81_90,western,optimal,0.5455417360836031,2.2500551012969727,2,0.0,127,37,169,5.289109102378944,1.0
81_90,high_fiber,optimal,0.5432902295015075,2.2330773468731766,2,0.0,127,37,169,5.289109102378944,1.0
