species_a,species_b,n_reactions_a,n_reactions_b,intersection,union,jaccard,dissimilarity
Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147,1189,1189,1189,1189,1.0,0.0
Alistipes_onderdonkii_DSM_19147,Alistipes_shahii_WAL_8301,1189,2434,1048,2575,0.40699029126213593,0.5930097087378641
Alistipes_onderdonkii_DSM_19147,Bacteroides_dorei_DSM_17855,1189,2115,934,2370,0.39409282700421944,0.6059071729957806
Alistipes_onderdonkii_DSM_19147,Bacteroides_xylanisolvens_XB1A,1189,2657,958,2888,0.3317174515235457,0.6682825484764543
Alistipes_onderdonkii_DSM_19147,Bilophila_wadsworthia_3_1_6,1189,1240,740,1689,0.43812907045589106,0.5618709295441089
Alistipes_onderdonkii_DSM_19147,Escherichia_coli_UTI89_UPEC,1189,3198,1003,3384,0.29639479905437355,0.7036052009456264
Alistipes_onderdonkii_DSM_19147,Faecalibacterium_prausnitzii_M21_2,1189,2046,711,2524,0.2816957210776545,0.7183042789223455
Alistipes_onderdonkii_DSM_19147,Klebsiella_pneumoniae_pneumoniae_MGH78578,1189,2113,992,2310,0.42943722943722945,0.5705627705627705
Alistipes_onderdonkii_DSM_19147,Parabacteroides_merdae_ATCC_43184,1189,2495,924,2760,0.3347826086956522,0.6652173913043478
Alistipes_onderdonkii_DSM_19147,Ruminococcus_torques_ATCC_27756,1189,998,591,1596,0.37030075187969924,0.6296992481203008
Alistipes_shahii_WAL_8301,Alistipes_onderdonkii_DSM_19147,2434,1189,1048,2575,0.40699029126213593,0.5930097087378641
Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,2434,2434,2434,2434,1.0,0.0
Alistipes_shahii_WAL_8301,Bacteroides_dorei_DSM_17855,2434,2115,1715,2834,0.60515172900494,0.39484827099506004
Alistipes_shahii_WAL_8301,Bacteroides_xylanisolvens_XB1A,2434,2657,2231,2860,0.7800699300699301,0.21993006993006992
Alistipes_shahii_WAL_8301,Bilophila_wadsworthia_3_1_6,2434,1240,725,2949,0.2458460495083079,0.7541539504916921
Alistipes_shahii_WAL_8301,Escherichia_coli_UTI89_UPEC,2434,3198,2074,3558,0.582911748173131,0.41708825182686904
Alistipes_shahii_WAL_8301,Faecalibacterium_prausnitzii_M21_2,2434,2046,1170,3310,0.35347432024169184,0.6465256797583081
Alistipes_shahii_WAL_8301,Klebsiella_pneumoniae_pneumoniae_MGH78578,2434,2113,942,3605,0.2613037447988904,0.7386962552011096
Alistipes_shahii_WAL_8301,Parabacteroides_merdae_ATCC_43184,2434,2495,2022,2907,0.695562435500516,0.304437564499484
Alistipes_shahii_WAL_8301,Ruminococcus_torques_ATCC_27756,2434,998,561,2871,0.19540229885057472,0.8045977011494253
Bacteroides_dorei_DSM_17855,Alistipes_onderdonkii_DSM_19147,2115,1189,934,2370,0.39409282700421944,0.6059071729957806
Bacteroides_dorei_DSM_17855,Alistipes_shahii_WAL_8301,2115,2434,1715,2834,0.60515172900494,0.39484827099506004
Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855,2115,2115,2115,2115,1.0,0.0
