age_group,diet_name,solver_status,community_growth_rate,objective_value,tradeoff_fraction,num_taxa_total,num_taxa_with_nonzero_growth,matched_diet_metabolites,missing_diet_metabolites,n_subjects,total_input_median_abundance,total_input_normalized_weight
21_40,western,optimal,0.567610929294336,0.5676109292943359,0.5,6,6,123,41,91,9.532609256984545,1.0
21_40,high_fiber,optimal,0.4740305665069916,0.47403056650699155,0.5,6,6,123,41,91,9.532609256984545,1.0
41_60,western,optimal,0.5864162795974213,0.5864162795974212,0.5,5,5,122,42,140,6.465364400909913,0.9999999999999999
41_60,high_fiber,optimal,0.49239270116658873,0.4923927011665888,0.5,5,5,122,42,140,6.465364400909913,0.9999999999999999
61_70,western,optimal,0.5631262199104398,0.5631262199104397,0.5,5,5,122,42,57,7.5814703312724285,1.0
61_70,high_fiber,optimal,0.46878853502723494,0.46878853502723494,0.5,5,5,122,42,57,7.5814703312724285,1.0
71_80,western,optimal,0.6978874982034929,0.6978874982034928,0.5,7,7,125,39,33,16.872341204474203,1.0
71_80,high_fiber,optimal,0.5866554403450513,0.5866554403450513,0.5,7,7,125,39,33,16.872341204474203,1.0
81_90,western,optimal,0.7207881361686796,0.7207881361686796,0.5,9,9,127,37,169,5.289109102378944,1.0
81_90,high_fiber,optimal,0.6293348589266555,0.6293348589266554,0.5,9,9,127,37,169,5.289109102378944,1.0
91_100,western,optimal,0.6175032709463362,0.6175032709463362,0.5,7,7,125,39,26,4.7952578024214985,1.0
91_100,high_fiber,optimal,0.5368430866617897,0.5368430866617897,0.5,7,7,125,39,26,4.7952578024214985,1.0
