age_group,diet_name,taxon_id,species_name,paper_taxon,median_abundance,normalized_weight,n_subjects,growth_rate,is_growing,reactions,metabolites
21_40,western,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,0.198909349388292,0.020866201899815737,91,0.02272314254623133,True,2434,2022
21_40,western,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.368117543859829,0.03861666139206421,91,0.03653538626894905,True,2115,1834
21_40,western,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,0.452260832550609,0.047443550905984885,91,0.044886463137961595,True,3198,2562
21_40,western,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,7.29668501804707,0.7654446774581458,91,0.7241859628725356,True,2046,1734
21_40,western,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.333979971528481,0.035035525166813464,91,0.03312676904638151,True,2495,2170
21_40,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.882656541610264,0.0925933831771759,91,0.08760270955960887,True,998,907
21_40,high_fiber,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,0.198909349388292,0.020866201899815737,91,0.020472317137430224,True,2434,2022
21_40,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.368117543859829,0.03861666139206421,91,0.03050960493604938,True,2115,1834
21_40,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,0.452260832550609,0.047443550905984885,91,0.03748331175618176,True,3198,2562
21_40,high_fiber,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,7.29668501804707,0.7654446774581458,91,0.6047510475102749,True,2046,1734
21_40,high_fiber,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.333979971528481,0.035035525166813464,91,0.027679067288950837,True,2495,2170
21_40,high_fiber,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.882656541610264,0.0925933831771759,91,0.07315474515343205,True,998,907
41_60,western,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.1387340455642995,0.02145803963420446,140,0.023902314349691145,True,2115,1834
41_60,western,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,0.7169455062014275,0.11089019299523582,140,0.12351612684469503,True,3198,2562
41_60,western,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,4.54764743652073,0.7033860977550948,140,0.7834762843581898,True,2046,1734
41_60,western,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,0.1929094748151095,0.02983737077340298,140,0.03324032461868582,True,2495,2170
41_60,western,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,0.8691279378083465,0.13442829884206192,140,0.1497342865279333,True,998,907
41_60,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,0.1387340455642995,0.02145803963420446,140,0.020069126076312546,True,2115,1834
41_60,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,0.7169455062014275,0.11089019299523582,140,0.10371260329631331,True,3198,2562
