age_group,cohort,n_subjects,n_subjects_age_bin_total,cohort_fraction_within_age_bin
21_40,T2D,73,91,0.8022
21_40,CRE,18,91,0.1978
21_40,SPMP,0,91,0.0
21_40,SG90,0,91,0.0
41_60,T2D,89,140,0.6357
41_60,CRE,23,140,0.1643
41_60,SPMP,28,140,0.2
41_60,SG90,0,140,0.0
61_70,T2D,9,57,0.1579
61_70,CRE,28,57,0.4912
61_70,SPMP,20,57,0.3509
61_70,SG90,0,57,0.0
71_80,T2D,0,33,0.0
71_80,CRE,11,33,0.3333
71_80,SPMP,2,33,0.0606
71_80,SG90,20,33,0.6061
81_90,T2D,0,169,0.0
81_90,CRE,0,169,0.0
81_90,SPMP,0,169,0.0
81_90,SG90,169,169,1.0
91_100,T2D,0,26,0.0
91_100,CRE,0,26,0.0
91_100,SPMP,0,26,0.0
91_100,SG90,26,26,1.0
