cohort,age_group,species_name,n_subjects,n_positive,pct_positive,median_abundance,mean_abundance,p25_abundance,p75_abundance,max_abundance
all_cohort,21_40,Alistipes onderdonkii,91,39,42.86,0.0,0.3408267760533551,0.0,0.251434499628136,4.90717416520391
all_cohort,41_60,Alistipes onderdonkii,140,48,34.29,0.0,0.5991736752833325,0.0,0.37985196266404475,12.5405297144338
all_cohort,61_70,Alistipes onderdonkii,57,23,40.35,0.0,0.8495441425283331,0.0,0.637836738900495,10.8829176995513
all_cohort,71_80,Alistipes onderdonkii,33,24,72.73,2.32999720316183,4.5673694277930235,0.0,5.29115438869582,26.684390783067
all_cohort,81_90,Alistipes onderdonkii,169,119,70.41,0.494620476895701,3.8896877191146495,0.0,3.18215146456649,56.4597665360804
all_cohort,91_100,Alistipes onderdonkii,26,14,53.85,0.1029047610133115,1.857233510041985,0.0,1.0231931051124854,14.3707861964534
T2D,21_40,Alistipes onderdonkii,73,35,47.95,0.0,0.26341896417887756,0.0,0.286912511209184,2.77442544106545
T2D,41_60,Alistipes onderdonkii,89,33,37.08,0.0,0.4893285136062431,0.0,0.351023011350694,11.5303359185362
T2D,61_70,Alistipes onderdonkii,9,3,33.33,0.0,0.5464503553979906,0.0,0.680157617206329,3.53073464492421
CRE,21_40,Alistipes onderdonkii,18,4,22.22,0.0,0.6547584575442916,0.0,0.0,4.90717416520391
CRE,41_60,Alistipes onderdonkii,23,12,52.17,0.259654386072807,0.9302901301470767,0.0,1.5155293720585798,3.61403151093224
CRE,61_70,Alistipes onderdonkii,28,10,35.71,0.0,1.0422270286583633,0.0,0.7677792856278938,10.8829176995513
CRE,71_80,Alistipes onderdonkii,11,11,100.0,6.4413072497929,10.083204483735926,3.2483751512485197,15.147466071642,26.684390783067
SPMP,41_60,Alistipes onderdonkii,28,3,10.71,0.0,0.67633585126172,0.0,0.0,12.5405297144338
SPMP,61_70,Alistipes onderdonkii,20,10,50.0,0.0627317915205885,0.7161803061549452,0.0,0.468453241210044,7.73394937117741
SPMP,71_80,Alistipes onderdonkii,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SG90,71_80,Alistipes onderdonkii,20,13,65.0,0.657763549954217,1.9903970898037295,0.0,3.539785448733985,8.67377996603653
SG90,81_90,Alistipes onderdonkii,169,119,70.41,0.494620476895701,3.8896877191146495,0.0,3.18215146456649,56.4597665360804
SG90,91_100,Alistipes onderdonkii,26,14,53.85,0.1029047610133115,1.857233510041985,0.0,1.0231931051124854,14.3707861964534
all_cohort,21_40,Alistipes shahii,91,56,61.54,0.198909349388292,0.5483837582010331,0.0,0.521097887511532,6.70462635183483
all_cohort,41_60,Alistipes shahii,140,65,46.43,0.0,0.34433577861285153,0.0,0.4192041065035452,4.18625861901388
all_cohort,61_70,Alistipes shahii,57,17,29.82,0.0,0.3405555316687532,0.0,0.164806478893468,5.19524348985489
all_cohort,71_80,Alistipes shahii,33,13,39.39,0.0,0.7337239779126133,0.0,0.756960102542164,4.89421335634239
all_cohort,81_90,Alistipes shahii,169,89,52.66,0.227743557500775,2.3069380517373186,0.0,2.71129337664821,40.0064883196063
all_cohort,91_100,Alistipes shahii,26,11,42.31,0.0,1.7542733929873684,0.0,2.65962100013642,13.5302519706879
T2D,21_40,Alistipes shahii,73,45,61.64,0.172378875913748,0.583952648948327,0.0,0.516524237303932,6.70462635183483
T2D,41_60,Alistipes shahii,89,45,50.56,0.10780340355078,0.4453263255862962,0.0,0.512848836472809,4.18625861901388
T2D,61_70,Alistipes shahii,9,6,66.67,0.520326495149546,1.1807737622320158,0.0,0.751816606992553,5.19524348985489
CRE,21_40,Alistipes shahii,18,11,61.11,0.248738994998686,0.4041321457258971,0.0,0.5396984083520353,2.10831533769159
CRE,41_60,Alistipes shahii,23,8,34.78,0.0,0.16063677233709553,0.0,0.23088770892549199,1.15494343314735
CRE,61_70,Alistipes shahii,28,6,21.43,0.0,0.19705164462890165,0.0,0.0,2.6723571691662
CRE,71_80,Alistipes shahii,11,0,0.0,0.0,0.0,0.0,0.0,0.0
SPMP,41_60,Alistipes shahii,28,12,42.86,0.0,0.1742257237452019,0.0,0.2905873859311855,0.766412210951086
SPMP,61_70,Alistipes shahii,20,5,25.0,0.0,0.16336276977107725,0.0,0.0268306913400905,2.13679976361587
SPMP,71_80,Alistipes shahii,2,2,100.0,0.20836724350354552,0.20836724350354552,0.16694418474475625,0.24979030226233473,0.291213361021124
SG90,71_80,Alistipes shahii,20,11,55.0,0.3587733130413235,1.1898078392054576,0.0,2.16620794871003,4.89421335634239
SG90,81_90,Alistipes shahii,169,89,52.66,0.227743557500775,2.3069380517373186,0.0,2.71129337664821,40.0064883196063
SG90,91_100,Alistipes shahii,26,11,42.31,0.0,1.7542733929873684,0.0,2.65962100013642,13.5302519706879
all_cohort,21_40,Bacteroides dorei,91,55,60.44,0.368117543859829,2.014865789822201,0.0,1.649561724103455,24.3529278282214
