age_group,diet_name,taxon_id,species_name,paper_taxon,n_subjects_total,n_subjects_growing,growth_prevalence_fraction,mean_growth_rate,median_growth_rate
71_80,high_fiber,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,20,13,0.65,0.20582970467470102,0.033691214943534956
71_80,high_fiber,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,20,11,0.55,0.029948888927370697,0.017067685418000588
71_80,high_fiber,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,20,18,0.9,0.2910983645849702,0.10605762563416243
71_80,high_fiber,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,20,14,0.7,0.04186791647636438,0.018753980724185763
71_80,high_fiber,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,20,1,0.05,0.00045875607104062694,0.0
71_80,high_fiber,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,20,15,0.75,0.3587575859243346,0.3514455931202085
71_80,high_fiber,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,20,16,0.8,0.23027448438554682,0.16778900976983818
71_80,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,20,11,0.55,0.20862550185110149,0.007049473521701002
71_80,high_fiber,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,20,10,0.5,0.1050854200249948,0.01620707390261515
71_80,high_fiber,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,20,16,0.8,0.09234118329526537,0.030434017803360122
71_80,western,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,20,13,0.65,0.24217966802498864,0.03767723122486673
71_80,western,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,20,11,0.55,0.04445655238707329,0.03128674150904432
71_80,western,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,20,18,0.9,0.3469642594922292,0.12480102159465903
