subject_set,pc,explained_variance_fraction,cumulative_explained_variance
all516,PC1,0.13801497169154667,0.13801497169154667
all516,PC2,0.053992692145323234,0.1920076638368699
all516,PC3,0.04448579752163943,0.23649346135850932
all516,PC4,0.043439020327208394,0.2799324816857177
all516,PC5,0.04150960168640195,0.32144208337211966
all516,PC6,0.032499750534606554,0.35394183390672623
all516,PC7,0.026106755281185015,0.38004858918791123
all516,PC8,0.02323779320889227,0.4032863823968035
all516,PC9,0.021338416472313215,0.4246247988691167
all516,PC10,0.01948160744306061,0.4441064063121773
all516,PC11,0.018485089135811164,0.46259149544798844
all516,PC12,0.017032624986668837,0.4796241204346573
all516,PC13,0.01481266501350351,0.49443678544816083
all516,PC14,0.01458014192249133,0.5090169273706522
all516,PC15,0.01399573979795242,0.5230126671686046
all516,PC16,0.012667509890037879,0.5356801770586425
all516,PC17,0.012354174196356793,0.5480343512549992
all516,PC18,0.012081941495363208,0.5601162927503625
all516,PC19,0.011233046653233186,0.5713493394035957
all516,PC20,0.010621250016495384,0.5819705894200911
all516,PC21,0.009864236812897238,0.5918348262329883
all516,PC22,0.009397197190063931,0.6012320234230523
all516,PC23,0.009175219878952395,0.6104072433020047
all516,PC24,0.008450109834639346,0.618857353136644
all516,PC25,0.008377887205207971,0.627235240341852
all516,PC26,0.00804562727080786,0.6352808676126598
all516,PC27,0.007799030474542442,0.6430798980872022
all516,PC28,0.007514237010794804,0.650594135097997
all516,PC29,0.007350916468727495,0.6579450515667246
all516,PC30,0.00713964077458271,0.6650846923413073
all516,PC31,0.006969610479141805,0.6720543028204491
all516,PC32,0.00674077655764104,0.6787950793780901
all516,PC33,0.006618718465516195,0.6854137978436063
all516,PC34,0.006506552735653335,0.6919203505792597
all516,PC35,0.006185043777504644,0.6981053943567643
all516,PC36,0.0059709754365530965,0.7040763697933174
all516,PC37,0.005773926697700077,0.7098502964910175
all516,PC38,0.005725084492282865,0.7155753809833003
all516,PC39,0.0056801830043172455,0.7212555639876176
all516,PC40,0.005555716704651803,0.7268112806922694
all516,PC41,0.00543396520596377,0.7322452458982331
