subject_set,pc,reaction_id,loading,abs_loading,explained_variance_fraction,direction,rank_within_direction
all516,PC1,DES_ASTZL_GLCt,-0.03744766124436572,0.03744766124436572,0.13801497169154667,negative,1
all516,PC1,ADCYRS,-0.03702221210214342,0.03702221210214342,0.13801497169154667,negative,2
all516,PC1,EX_xtsn(e),-0.036979772255865594,0.036979772255865594,0.13801497169154667,negative,3
all516,PC1,EAR14M16,-0.03684023412319513,0.03684023412319513,0.13801497169154667,negative,4
all516,PC1,ISOCHOLtex,-0.03643611529845328,0.03643611529845328,0.13801497169154667,negative,5
all516,PC1,EX_dh5fura(e),-0.03642219184056739,0.03642219184056739,0.13801497169154667,negative,6
all516,PC1,ACGAMPM,-0.03639578478939982,0.03639578478939982,0.13801497169154667,negative,7
all516,PC1,7BHGLZGLCt,-0.03619111546238849,0.03619111546238849,0.13801497169154667,negative,8
all516,PC1,FVSGLUCt,-0.03601215770458444,0.03601215770458444,0.13801497169154667,negative,9
all516,PC1,3OAS121,-0.03598790674482394,0.03598790674482394,0.13801497169154667,negative,10
all516,PC1,ACACT4r,-0.03598200183525517,0.03598200183525517,0.13801497169154667,negative,11
all516,PC1,PLIPA2A160,-0.035787214756821874,0.035787214756821874,0.13801497169154667,negative,12
all516,PC1,GLYASNabc,-0.035470077154859565,0.035470077154859565,0.13801497169154667,negative,13
all516,PC1,TSULabcpp,-0.03522738452048191,0.03522738452048191,0.13801497169154667,negative,14
all516,PC1,2HIBUP_Stepp,-0.03520970854134934,0.03520970854134934,0.13801497169154667,negative,15
all516,PC1,GLYCLTtex,-0.03510675191779493,0.03510675191779493,0.13801497169154667,negative,16
all516,PC1,6OHFVStepp,-0.03484899632378221,0.03484899632378221,0.13801497169154667,negative,17
all516,PC1,5MTHCYST,-0.034711213695072594,0.034711213695072594,0.13801497169154667,negative,18
all516,PC1,3OH_MDEA_GLCt,-0.0346990339454422,0.0346990339454422,0.13801497169154667,negative,19
all516,PC1,OH_PBLte,-0.03458605748609499,0.03458605748609499,0.13801497169154667,negative,20
all516,PC1,BILR_M16t,0.037489820053784234,0.037489820053784234,0.13801497169154667,positive,1
all516,PC1,CLCXBtepp,0.03727914132051771,0.03727914132051771,0.13801497169154667,positive,2
all516,PC1,4OH_METH_GLCtex,0.0371899502362163,0.0371899502362163,0.13801497169154667,positive,3
all516,PC1,OH_PBL_GLCtex,0.03696757676114976,0.03696757676114976,0.13801497169154667,positive,4
all516,PC1,N_OH_PHTN_GLCt,0.03648098124932378,0.03648098124932378,0.13801497169154667,positive,5
all516,PC1,REGFNBte,0.035989751274383024,0.035989751274383024,0.13801497169154667,positive,6
all516,PC1,3OH_DLORte,0.03593091700222212,0.03593091700222212,0.13801497169154667,positive,7
all516,PC1,CTBTabcpp,0.035921689536632655,0.035921689536632655,0.13801497169154667,positive,8
all516,PC1,GBBTNtpp,0.035847001797776286,0.035847001797776286,0.13801497169154667,positive,9
all516,PC1,4OH_PROPL_GLCt2pp,0.03572591546260935,0.03572591546260935,0.13801497169154667,positive,10
all516,PC1,3MEACMPte,0.03567728003364939,0.03567728003364939,0.13801497169154667,positive,11
all516,PC1,AMN_B_GLYte,0.03537429570567158,0.03537429570567158,0.13801497169154667,positive,12
all516,PC1,EX_pect(e),0.03528984770839706,0.03528984770839706,0.13801497169154667,positive,13
all516,PC1,DGCHOLtex,0.03515334778166668,0.03515334778166668,0.13801497169154667,positive,14
all516,PC1,ADOCBLabc,0.035136235324775,0.035136235324775,0.13801497169154667,positive,15
all516,PC1,4OH_METHtepp,0.03503573053371718,0.03503573053371718,0.13801497169154667,positive,16
