subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux
all516,2AHBUTI,butyrate,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,77,0.14922480620155038,2.766006644851e-4,0.0513681494668268,68.62239564407082,0.27144932629439933
all516,2AHBUTI,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,67,0.12984496124031009,-0.1105959420566759,0.1105959420566759,57.89889355739216,0.2290304134945076
all516,2AHBUTI,butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,72,0.13953488372093023,0.1459481523681112,0.1459481523681112,42.70986489065474,0.16894723569294054
all516,2AHBUTI,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,54,0.10465116279069768,0.12315257237891804,0.12315257237891804,21.5487483227147,0.0852402945100894
all516,2AHBUTI,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,60,0.11627906976744186,-0.00850194025783205,0.0793946973388391,17.923269527502843,0.0708990030524234
all516,2AHBUTI,butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,516,56,0.10852713178294572,-0.08923389997354106,0.1201958032705092,15.696599555994922,0.06209097386642953
all516,2AHBUTI,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,59,0.11434108527131782,-0.1183269589625078,0.1183269589625078,15.407196331058277,0.06094618272792216
all516,2AHBUTI,butyrate,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,46,0.08914728682170543,0.0945192276127168,0.0945192276127168,12.993054115210771,0.0513965703612881
all516,2OBUTFDXOR,butyrate,Bilophila_wadsworthia_3_1_6,Bilophila wadsworthia,Bilophila unclassified,516,5,0.00968992248062015,-0.1989479661819388,0.1989479661819388,0.8066798598659428,1
all516,2OBUTt2rpp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,193,0.374031007751938,5.233284659303708,5.233284659303708,2135.6365827577324,1
all516,2OBUTtex,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,261,0.5058139534883721,2.710315563191952,2.710315563191952,2153.929816530402,1
all516,3ABUTCOAL,butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,75,0.1453488372093023,0.1156741634770365,0.1156741634770365,128.30464918340186,1
all516,4ABUTtex,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,516,91,0.17635658914728683,0.0152682768363839,0.1830473253168035,177323.71122521823,0.9889732460654044
all516,4ABUTtex,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,75,0.1453488372093023,-0.01549867888099,0.1261202391708853,1610.6080306347808,0.00898271438822311
all516,4ABUTtex,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,157,0.30426356589147285,7.633049002272e-4,0.2169816923492142,310.5254343402396,0.00173186848314542
