pc,explained_variance_fraction,cumulative_explained_variance
PC1,0.13801497169154675,0.13801497169154675
PC2,0.05399269214532327,0.19200766383687
PC3,0.04448579752163949,0.23649346135850952
PC4,0.04343902032720833,0.2799324816857178
PC5,0.0415096016864019,0.3214420833721197
PC6,0.03249975053460678,0.3539418339067265
PC7,0.026106755281185036,0.38004858918791157
PC8,0.02323779320889227,0.4032863823968038
PC9,0.021338416472313226,0.424624798869117
PC10,0.019481607443060597,0.4441064063121776
PC11,0.01848508913581116,0.4625914954479888
PC12,0.017032624986668844,0.47962412043465763
PC13,0.014812665013503496,0.4944367854481611
PC14,0.014580141922491326,0.5090169273706524
PC15,0.01399573979795243,0.5230126671686048
PC16,0.012667509890037912,0.5356801770586428
PC17,0.01235417419635679,0.5480343512549996
PC18,0.01208194149536321,0.5601162927503628
PC19,0.011233046653233153,0.5713493394035959
PC20,0.010621250016495385,0.5819705894200913
PC21,0.009864236812897232,0.5918348262329886
PC22,0.009397197190063945,0.6012320234230525
PC23,0.009175219878952387,0.6104072433020049
PC24,0.00845010983463933,0.6188573531366443
PC25,0.008377887205207974,0.6272352403418522
PC26,0.008045627270807851,0.63528086761266
PC27,0.00779903047454244,0.6430798980872025
PC28,0.007514237010794804,0.6505941350979972
PC29,0.007350916468727488,0.6579450515667248
PC30,0.0071396407745827044,0.6650846923413075
PC31,0.006969610479141812,0.6720543028204493
PC32,0.006740776557641035,0.6787950793780904
PC33,0.006618718465516189,0.6854137978436066
PC34,0.006506552735653342,0.6919203505792599
PC35,0.0061850437775046434,0.6981053943567646
PC36,0.005970975436553091,0.7040763697933177
PC37,0.005773926697700083,0.7098502964910177
PC38,0.005725084492282849,0.7155753809833005
PC39,0.0056801830043172385,0.7212555639876178
PC40,0.005555716704651798,0.7268112806922696
PC41,0.005433965205963767,0.7322452458982334
PC42,0.005283674284244562,0.737528920182478
PC43,0.005256964167094617,0.7427858843495726
PC44,0.00515955665750229,0.7479454410070749
PC45,0.005111860604095341,0.7530573016111702
PC46,0.0050177904269650235,0.7580750920381353
PC47,0.004990445407547066,0.7630655374456824
PC48,0.0049790558065991395,0.7680445932522816
PC49,0.004840052796869635,0.7728846460491512
PC50,0.0047931296953588115,0.77767777574451
PC51,0.004732566913902505,0.7824103426584126
PC52,0.004621799863925474,0.7870321425223381
PC53,0.004493425863568375,0.7915255683859065
PC54,0.00437660315717409,0.7959021715430806
PC55,0.00433804028777908,0.8002402118308597
PC56,0.004318912245408164,0.8045591240762678
PC57,0.004191758462870923,0.8087508825391387
PC58,0.0040544807446381914,0.812805363283777
PC59,0.003980344333925263,0.8167857076177022
PC60,0.003933619166424384,0.8207193267841266
PC61,0.003885257124778933,0.8246045839089056
PC62,0.0037562050961131746,0.8283607890050187
PC63,0.003685215549891859,0.8320460045549106
PC64,0.003622849992336151,0.8356688545472468
PC65,0.0035887935351097667,0.8392576480823566
PC66,0.003536160752679535,0.8427938088350361
PC67,0.003451935607749005,0.8462457444427851
PC68,0.0033404875120684914,0.8495862319548536
PC69,0.003258212411784992,0.8528444443666386
PC70,0.0032504116922972255,0.8560948560589359
PC71,0.0032116628404701805,0.859306518899406
PC72,0.003154446577134224,0.8624609654765403
PC73,0.003044959990324074,0.8655059254668643
PC74,0.0029229924029923015,0.8684289178698567
PC75,0.0028981647787802937,0.8713270826486369
PC76,0.0028460396146572356,0.8741731222632941
PC77,0.0027991628952223316,0.8769722851585164
PC78,0.002776905362218517,0.879749190520735
PC79,0.002762459823541077,0.882511650344276
PC80,0.002716711165851388,0.8852283615101274
PC81,0.002685581076513511,0.8879139425866409
PC82,0.0026078710812602996,0.8905218136679012
PC83,0.002562638387998313,0.8930844520558995
PC84,0.0025361865628954964,0.8956206386187949
PC85,0.002511987656828644,0.8981326262756236
PC86,0.0024405922410587243,0.9005732185166824
PC87,0.002356154275405339,0.9029293727920877
PC88,0.0023219429542886754,0.9052513157463764
PC89,0.002192108874398461,0.9074434246207749
PC90,0.0021374730631862904,0.9095808976839612
PC91,0.0021130553082929215,0.9116939529922541
PC92,0.0020825201439962915,0.9137764731362503
PC93,0.002045539507799881,0.9158220126440502
PC94,0.0019854695092629934,0.9178074821533132
PC95,0.001943037699506205,0.9197505198528194
PC96,0.0019162322828856116,0.921666752135705
PC97,0.0018397372635938867,0.9235064893992989
PC98,0.0018254845023299353,0.9253319739016288
PC99,0.001802356341310086,0.9271343302429389
PC100,0.0017657049025214915,0.9289000351454604
PC101,0.0017499158095712938,0.9306499509550317
PC102,0.0017117834632633176,0.932361734418295
PC103,0.0015683737145375544,0.9339301081328325
PC104,0.0015176491512839574,0.9354477572841164
PC105,0.0014372965079257915,0.9368850537920422
PC106,0.0013394535391851473,0.9382245073312274
PC107,0.0013246198318478978,0.9395491271630754
PC108,0.001296557090237308,0.9408456842533127
PC109,0.0012770146989103243,0.942122698952223
PC110,0.0012589172896399284,0.9433816162418629
PC111,0.0012235905582238678,0.9446052068000867
PC112,0.0012047943976172487,0.945810001197704
PC113,0.0011951626270473592,0.9470051638247513
PC114,0.0011795094457464227,0.9481846732704977
PC115,0.001151861595328719,0.9493365348658265
PC116,0.0011176817789359836,0.9504542166447625
PC117,0.0011040429683613674,0.9515582596131239
PC118,0.0010875469036821473,0.9526458065168061
PC119,0.0010704803293325306,0.9537162868461386
PC120,0.001059328058876169,0.9547756149050148
PC121,0.0010542048840740332,0.9558298197890889
PC122,0.0010106364208445405,0.9568404562099334
PC123,9.851789257520796e-4,0.9578256351356855
PC124,9.66735030301307e-4,0.9587923701659868
PC125,9.186008976819973e-4,0.9597109710636689
PC126,9.002187325772343e-4,0.9606111897962462
PC127,8.784448845443924e-4,0.9614896346807905
PC128,8.60953047465257e-4,0.9623505877282558
PC129,8.325848761732754e-4,0.9631831726044291
PC130,8.090032797105785e-4,0.9639921758841397
PC131,7.817383207363982e-4,0.964773914204876
PC132,7.611101680937713e-4,0.9655350243729698
PC133,7.462659536473109e-4,0.9662812903266171
PC134,7.116844992391451e-4,0.9669929748258563
PC135,7.076851205231123e-4,0.9677006599463794
PC136,6.722414019518757e-4,0.9683729013483313
PC137,6.544381170528361e-4,0.9690273394653841
PC138,6.392799988595958e-4,0.9696666194642437
PC139,6.321019291429582e-4,0.9702987213933867
PC140,6.262855179101362e-4,0.9709250069112968
PC141,5.92093351565188e-4,0.971517100262862
PC142,5.851049585530218e-4,0.972102205221415
PC143,5.546323003890886e-4,0.9726568375218041
PC144,5.512352141580566e-4,0.9732080727359621
PC145,5.279009732264338e-4,0.9737359737091885
PC146,5.261843943803835e-4,0.9742621581035689
PC147,5.114473882493726e-4,0.9747736054918182
PC148,5.05995501797418e-4,0.9752796009936157
PC149,4.884630422298748e-4,0.9757680640358455
PC150,4.6406210139340924e-4,0.9762321261372389
PC151,4.600587737897603e-4,0.9766921849110286
PC152,4.509922976742568e-4,0.9771431772087028
PC153,4.340264616955331e-4,0.9775772036703984
PC154,4.2796995857611285e-4,0.9780051736289744
PC155,4.178660284650638e-4,0.9784230396574395
PC156,4.097671561364363e-4,0.9788328068135759
PC157,3.984826433521378e-4,0.9792312894569281
PC158,3.957554111619662e-4,0.97962704486809
PC159,3.819126934119105e-4,0.980008957561502
PC160,3.740109169792336e-4,0.9803829684784812
PC161,3.694254321480481e-4,0.9807523939106292
PC162,3.638729400194047e-4,0.9811162668506486
PC163,3.5334788037779037e-4,0.9814696147310263
PC164,3.442854322143258e-4,0.9818139001632407
PC165,3.42789723341795e-4,0.9821566898865824
PC166,3.311778340835597e-4,0.982487867720666
PC167,3.209570677687486e-4,0.9828088247884348
PC168,3.1890577643256556e-4,0.9831277305648674
PC169,3.11357483392634e-4,0.98343908804826
PC170,3.075201762602211e-4,0.9837466082245202
PC171,3.0287276038236356e-4,0.9840494809849025
PC172,2.981873326835031e-4,0.984347668317586
PC173,2.9185581411653085e-4,0.9846395241317025
PC174,2.869585923716603e-4,0.9849264827240742
PC175,2.8364448911134653e-4,0.9852101272131856
PC176,2.7554180738980657e-4,0.9854856690205753
PC177,2.680327330191776e-4,0.9857537017535946
PC178,2.664090221608982e-4,0.9860201107757555
PC179,2.6124974730315335e-4,0.9862813605230586
PC180,2.5584189066854595e-4,0.9865372024137271
PC181,2.535906709143623e-4,0.9867907930846415
PC182,2.453059740832234e-4,0.9870360990587247
PC183,2.4440136195541615e-4,0.9872805004206802
PC184,2.368776069249209e-4,0.9875173780276051
PC185,2.3540256434046686e-4,0.9877527805919456
PC186,2.272983163116488e-4,0.9879800789082572
PC187,2.2371699784114158e-4,0.9882037959060984
PC188,2.1921712313043238e-4,0.9884230130292289
PC189,2.1515725295047158e-4,0.9886381702821794
PC190,2.126240363438337e-4,0.9888507943185232
PC191,2.0999742793814202e-4,0.9890607917464613
PC192,2.0375541128076228e-4,0.9892645471577421
PC193,2.027178840698752e-4,0.989467265041812
PC194,2.0091425660743526e-4,0.9896681792984194
PC195,1.932697525266207e-4,0.9898614490509461
PC196,1.9056999868149573e-4,0.9900520190496276
PC197,1.8483100643914573e-4,0.9902368500560668
PC198,1.8312402088880168e-4,0.9904199740769556
PC199,1.8033394923268887e-4,0.9906003080261883
PC200,1.751490115119462e-4,0.9907754570377002
PC201,1.7105874893009839e-4,0.9909465157866303
PC202,1.6813737190886477e-4,0.9911146531585392
PC203,1.6580884064378327e-4,0.991280461999183
PC204,1.641723376402164e-4,0.9914446343368232
PC205,1.6092580437438545e-4,0.9916055601411976
PC206,1.59462724792881e-4,0.9917650228659904
PC207,1.5331634847800735e-4,0.9919183392144685
PC208,1.5221993597588736e-4,0.9920705591504444
PC209,1.5111924283931478e-4,0.9922216783932837
PC210,1.4869229677669536e-4,0.9923703706900604
PC211,1.4368638994560445e-4,0.992514057080006
PC212,1.4213721644812803e-4,0.9926561942964541
PC213,1.399983700189345e-4,0.9927961926664731
PC214,1.368722641108489e-4,0.992933064930584
