cohort,age_group,n_subjects_matched,n_species_nonzero,total_median_abundance_pre_norm,used_equal_weight_fallback,low_n_bin
CRE,21_40,18,6,10.601611097525339,False,True
T2D,21_40,73,7,9.613230846558324,False,True
all_cohort,21_40,91,6,9.532609256984545,False,False
CRE,41_60,23,6,5.638587997755591,False,True
SPMP,41_60,28,5,7.074956037626904,False,True
T2D,41_60,89,7,7.124855107062324,False,False
all_cohort,41_60,140,5,6.465364400909913,False,False
CRE,61_70,28,6,2.634651195815611,False,True
SPMP,61_70,20,6,11.10630239375269,False,True
T2D,61_70,9,5,7.781869778718061,False,True
all_cohort,61_70,57,5,7.5814703312724285,False,True
CRE,71_80,11,5,24.79304781859249,False,True
SG90,71_80,20,9,9.70433716023222,False,True
SPMP,71_80,2,7,35.84558157920174,False,True
all_cohort,71_80,33,7,16.872341204474203,False,True
SG90,81_90,169,9,5.289109102378944,False,False
all_cohort,81_90,169,9,5.289109102378944,False,False
SG90,91_100,26,7,4.7952578024214985,False,True
all_cohort,91_100,26,7,4.7952578024214985,False,True
