cohort,age_group,species_name,paper_taxon,model_file,model_species_id,median_abundance,normalized_weight,n_subjects
all_cohort,21_40,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.0,0.0,91
all_cohort,21_40,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.198909349388292,0.020866201899815737,91
all_cohort,21_40,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.368117543859829,0.03861666139206421,91
all_cohort,21_40,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.0,0.0,91
all_cohort,21_40,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,91
all_cohort,21_40,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,0.452260832550609,0.047443550905984885,91
all_cohort,21_40,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,7.29668501804707,0.7654446774581458,91
all_cohort,21_40,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.0,0.0,91
all_cohort,21_40,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.333979971528481,0.035035525166813464,91
all_cohort,21_40,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,0.882656541610264,0.0925933831771759,91
all_cohort,41_60,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.0,0.0,140
all_cohort,41_60,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.0,0.0,140
all_cohort,41_60,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.1387340455642995,0.02145803963420446,140
all_cohort,41_60,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.0,0.0,140
all_cohort,41_60,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,140
all_cohort,41_60,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,0.7169455062014275,0.11089019299523582,140
all_cohort,41_60,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,4.54764743652073,0.7033860977550948,140
all_cohort,41_60,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.0,0.0,140
all_cohort,41_60,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.1929094748151095,0.02983737077340298,140
