cohort,age_group,species_name,paper_taxon,model_file,model_species_id,median_abundance,normalized_weight,n_subjects
CRE,21_40,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.0,0.0,18
CRE,21_40,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.248738994998686,0.023462376869940783,18
CRE,21_40,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.9484969552179006,0.08946724667530029,18
CRE,21_40,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.0,0.0,18
CRE,21_40,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,18
CRE,21_40,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,0.5933598491783945,0.05596883753988093,18
CRE,21_40,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,7.513499829506035,0.7087130211048639,18
CRE,21_40,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.198363528815779,0.018710696609318338,18
CRE,21_40,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.0,0.0,18
CRE,21_40,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,1.099151939808545,0.10367782120069585,18
T2D,21_40,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.0,0.0,73
T2D,21_40,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.172378875913748,0.017931419588812034,73
T2D,21_40,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.239234135598874,0.02488592434920288,73
T2D,21_40,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.104383551278331,0.01085832150964125,73
T2D,21_40,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,73
T2D,21_40,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,0.442835420484889,0.04606520196520928,73
T2D,21_40,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,7.29668501804707,0.7590252574304287,73
T2D,21_40,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.0,0.0,73
T2D,21_40,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.531655838828204,0.055304595022655105,73
T2D,21_40,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,0.826058006407208,0.08592928013405074,73
CRE,41_60,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.259654386072807,0.04604954044809818,23
CRE,41_60,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.0,0.0,23
CRE,41_60,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.419308969766142,0.07436417946000765,23
CRE,41_60,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.0,0.0,23
CRE,41_60,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,23
CRE,41_60,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,0.893471562407909,0.1584566140962153,23
CRE,41_60,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,1.61651257436733,0.28668747832095093,23
CRE,41_60,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.0,0.0,23
CRE,41_60,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.655848390389343,0.1163142954673049,23
CRE,41_60,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,1.79379211475206,0.318127892207423,23
SPMP,41_60,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.0,0.0,28
SPMP,41_60,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.0,0.0,28
SPMP,41_60,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.3209686642584645,0.045366877553930984,28
SPMP,41_60,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.0,0.0,28
SPMP,41_60,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,28
